"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-01",,,,,,,"0.0","0.0",,"42","24",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-02",,"    2",,"0.66",,,"0.0","0.0",,"37","24",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-03",,,,,,"0.00","0.0","0.0",,"48","28",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-04",,,,,,"0.22",,"0.0",,"34","31",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-05",,,,,,"0.00","0.0","0.0",,"42","34",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-06",,,,,,"0.00","0.0","0.0",,"38","30",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-07",,,,,,"0.00","0.0","0.0",,"39","30",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-08",,,,,,"0.00","0.0","0.0",,"38","24",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-09",,,,,,"0.00","0.0","0.0",,"39","21",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-10",,,,,,"0.00","0.0","0.0",,"37","21",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-11",,,,,,"0.00","0.0","0.0",,"40","21",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-12",,,,,,"0.00","0.0","0.0",,"36","20",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-13",,,,,,"0.00","0.0","0.0",,"42","23",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-14",,,,,,"0.00","0.0","0.0",,"40","29",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-15",,,,,,"0.00","0.0","0.0",,"46","27",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-16",,,,,,"1.21","0.0","0.0",,"41","28",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-17",,,,,,"0.00","0.0","0.0",,"43","34",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-18",,,,,,"0.00","0.0","0.0",,"42","28",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-19",,,,,,"0.00","0.0","0.0",,"43","29",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-20",,,,,,"0.00","0.0","0.0",,"40","25",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-21",,,,,,"0.00","0.0","0.0",,"38","17",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-22",,,,,,"0.00","0.0","0.0",,"40","17",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-23",,,,,,"0.00","0.0","0.0",,"41","26",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-24",,,,,,"0.00","0.0","0.0",,"29","20",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-25",,,,,,"0.00","0.0","0.0",,"30","19",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-26",,,,,,"0.00","0.0","0.0",,"37","19",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-27",,,,,,"0.18","1.0","1.0",,"33","27",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-28",,,,,,"0.00","0.0","0.0",,"34","25",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-29",,,,,,"0.00","0.0","0.0",,"29","14",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-30",,,,,,"0.00","0.0","0.0",,"23","13",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-01-31",,,,,,"0.00","0.0","0.0",,"31","15",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-02",,,,,,"1.36",,"19.0",,"30","17",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-03",,,,,,"0.02",,"17.0",,"33","17",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-04",,,,,,"0.00","0.0","12.0",,"35","28",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-05",,,,,,"0.01","0.0","9.0",,"42","27",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-06",,,,,,"0.06","0.0","9.0",,"43","20",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-07",,,,,,"0.00","0.0","8.0",,"41","19",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-08",,,,,,"0.33","5.0","13.0",,"33","11",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-09",,,,,,"0.01","0.0","13.0",,"28","9",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-10",,,,,,"0.03","0.0","13.0",,"31","9",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-11",,,,,,"0.06",,"13.0",,"33","15",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-12",,,,,,"0.00","0.0","12.0",,"31","15",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-13",,,,,,"0.00","0.0","12.0",,"29","13",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-14",,,,,,"0.00","0.0",,,"25","19",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-15",,,,,,"0.00","0.0",,,"36","24",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-16",,,,,,"0.80","0.0","10.0",,"36","29",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-17",,,,,,"0.03","0.0","7.0",,"48","21",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-18",,,,,,"0.00","0.0","5.0",,"30","19",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-19",,,,,,"0.45","4.0","9.0",,"26","22",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-20",,,,,,"0.08",,,,"32","22",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-21",,,,,,"0.00","0.0","8.0",,"32","12",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-02-22",,,,,,"0.00","0.0","6.0",,"35","13",,,,,,,,,
